dataset,sequence,device,platform,size,duration_s,distance_m,lidar,point_timing,imu,imu_rate_hz,clock,extrinsics,reference,reference_dof,reference_accuracy,transition_evidence,transition_interval,status,source
NTNU,tunnel.bag,owl,aerial,3.47GB,unknown,unknown,Ouster_OS0-128_10Hz,packet_timing_driver_required,VectorNav_VN100,200,trigger_module_1ppm,verified_wrt_IMU,none_published_for_released_bag,0,none,rest_area_to_self_similar_to_rest_area,unknown_t04,unsuitable_no_independent_reference,ntnu_repo_and_paper_IV-C
NTNU,fog.bag,owl,aerial,1.85GB,unknown,about_100,Ouster_OS0-128_10Hz,packet_timing_driver_required,VectorNav_VN100,200,trigger_module_1ppm,verified_wrt_IMU,none_published_for_released_bag,0,none,fog_hallway_exit_to_open_area,unknown_t04,unsuitable_no_independent_reference,ntnu_repo_and_paper_IV-D
GEODE,Flat_Surfaces_Smooth,gamma,handheld,770.5MB,82,27.77,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,Vicon,6,1mm_instrument_spec,no_exit_documented,unknown_t04,control_only,geode_page_paper_4.4
GEODE,Flat_Surfaces_Aggressive,gamma,handheld,799.9MB,88,80.52,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,Vicon,6,1mm_instrument_spec,no_exit_documented,unknown_t04,control_only,geode_page_paper_4.4
GEODE,Stairs_Alpha,alpha,handheld,3.7GB,345,301.06,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,PALoc_against_RTC360_map,6,unknown_algorithmic,stair_and_corridor_geometry,unknown_t04,provisional_reference_independence,geode_page_paper_4.4
GEODE,Stairs_Beta,beta,handheld,11.0GB,331,300.15,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,PALoc_against_RTC360_map,6,unknown_algorithmic,stair_and_corridor_geometry,unknown_t04,provisional_reference_independence,geode_page_paper_4.4
GEODE,Stairs_Gamma,gamma,handheld,2.9GB,390,300,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,no_reliable_trajectory,0,none,stair_and_corridor_geometry,unknown_t04,unsuitable_missing_reference,geode_repo_paper_4.4
GEODE,Shield_tunnel1_gamma,gamma,handheld,4.2GB,542,691.85,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Shield_tunnel2_gamma,gamma,handheld,3.5GB,447,673.76,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Shield_tunnel3_gamma,gamma,handheld,2.7GB,338,586.76,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
